particle,particle_symbol,theory_E,E_min,E_mean,E_max,delta_i,counts,delta_i_percent,i4,i3,i2,i1,i0,i_minus_1,C
Proton,uud,1836.152673426,1836.152673408,1836.152673408,1836.152673408,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,1.0
H,H,1837.47,1837.18,1837.42,1837.66,-89,10985,0.8102,1.0,1.0,0.5,-2.0,-1.5,1.5,1.0
H,H,1837.47,1837.18,1837.42,1837.66,611,10985,5.56213,1.0,1.0,1.0,2.0,-1.0,2.5,-1.0
Neutron,udd,1838.68366200,1838.68366244,1838.68366244,1838.68366244,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,0.0
