sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
heavy,K* 0,"$d\overline{s},s\overline{d}$",327,1752.6,1752.5,1752.6,1752.6,1752.6,1752.5,174127,174915,-787,787,10985,7.16431,1.0,0.5,1.5,-2.0,-1.0,1.5,1.0,1.0,0.5,1.5,-1.5,-1.5,2.5,0.0
heavy,K* 0,"$d\overline{s},s\overline{d}$",328,1752.6,1752.5,1752.6,1752.6,1752.5,1752.5,190906,191754,-847,847,65910,1.28509,1.0,0.5,2.0,1.5,-2.0,2.5,0.5,1.0,0.5,2.0,2.0,-2.0,3.0,-0.5
heavy,K* 0,"$d\overline{s},s\overline{d}$",332,1752.6,1752.5,1752.6,1752.6,1752.5,1752.5,500263,499753,511,511,65910,0.7753,1.5,-2.0,-2.0,2.5,-1.0,-1.5,-1.0,1.5,-2.0,-2.0,2.0,1.5,-0.5,-1.0
heavy,Proton,uud,330,1836.152673426,1836.152673394,1836.152673458,1836.152673408,1836.152673408,1836.152673408,267332,267332,1,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
heavy,H,H,328,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,302914,302509,406,406,65910,0.61599,1.0,1.5,-2.0,2.5,2.0,-2.5,-0.5,1.0,1.5,-2.0,2.5,-1.5,2.5,-0.5
heavy,H,H,329,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,250957,251166,-208,208,10985,1.89349,1.0,1.0,0.5,-2.0,-1.5,1.5,1.0,1.0,1.0,0.5,-2.0,0.0,3.0,0.5
heavy,H,H,330,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,268773,267197,1577,1577,10985,14.35594,1.0,1.0,1.0,2.0,-1.0,2.5,-1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
heavy,H,H,335,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,524642,525229,-586,586,10985,5.33455,1.5,-2.0,-0.5,-2.5,-2.0,-1.5,1.0,1.5,-2.0,-0.5,-2.5,2.5,-1.0,-0.5
heavy,H,H,336,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,541299,542018,-718,718,65910,1.08936,1.5,-2.0,0.0,0.5,2.5,0.5,-0.5,1.5,-2.0,0.0,1.0,1.5,1.0,-1.0
heavy,H,H,337,1837.47,1837.18,1837.67,1837.66,1837.43,1837.2,556497,556532,-34,34,10985,0.30951,1.5,-2.0,0.5,3.0,2.5,-1.0,1.0,1.5,-2.0,0.5,3.0,2.5,2.5,1.0
heavy,Neutron,udd,330,1838.68366200,1838.68366126,1838.68366273,1838.68366244,1838.68366244,1838.68366244,267330,267330,1,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,328,1874.32,1874.21,1874.42,1874.42,1874.32,1874.22,293004,293124,-119,119,65910,0.18055,1.0,1.5,-2.0,-3.0,-3.0,1.0,-0.5,1.0,1.5,-2.0,-3.0,-2.0,0.0,-0.5
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,329,1874.32,1874.21,1874.42,1874.42,1874.31,1874.21,308011,308938,-926,926,10985,8.42968,1.0,1.5,-1.5,-1.0,2.0,0.0,0.5,1.0,1.5,-1.5,-0.5,2.5,2.0,-1.0
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,330,1874.32,1874.21,1874.42,1874.42,1874.32,1874.21,324591,324541,51,51,10985,0.46427,1.0,1.5,-1.0,2.5,-0.5,0.5,0.5,1.0,1.5,-1.0,2.5,-1.0,2.0,0.5
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,331,1874.32,1874.21,1874.42,1874.42,1874.32,1874.21,275373,274520,854,854,10985,7.77424,1.0,1.0,1.5,-0.5,-2.0,-0.5,-1.0,1.0,1.0,1.5,-1.0,-2.0,-1.5,0.0
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,332,1874.32,1874.21,1874.42,1874.42,1874.31,1874.21,290665,289922,744,744,65910,1.12881,1.0,1.0,2.0,2.0,-1.5,1.0,0.0,1.0,1.0,2.0,1.5,-0.5,-2.0,1.0
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,336,1874.32,1874.21,1874.42,1874.42,1874.31,1874.21,599019,597156,1864,1864,65910,2.8281,1.5,-1.5,-2.0,2.5,-2.0,0.5,-0.5,1.5,-1.5,-2.0,1.0,3.0,2.5,0.5
