sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
nucleon,Proton,uud,330,1836.152673426,1836.152673394,1836.152673458,1836.152673408,1836.152673408,1836.152673408,989,989,1,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nucleon,H,H,329,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,148,238,-89,89,10985,0.8102,1.0,1.0,0.5,-2.0,-1.5,1.5,1.0,1.0,1.0,0.5,-2.0,0.0,3.0,0.5
nucleon,H,H,330,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,1538,928,611,611,10985,5.56213,1.0,1.0,1.0,2.0,-1.0,2.5,-1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
nucleon,Neutron,udd,330,1838.68366200,1838.68366126,1838.68366273,1838.68366244,1838.68366244,1838.68366244,987,987,1,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
