sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
broad,KL 0,"$d\overline{s},s\overline{d}$  ",296,973.800,973.774,973.825,973.824,973.806,973.787,638932,640359,-1426,1426,65910,2.16356,0.5,0.5,2.0,1.0,-0.5,2.0,1.0,0.5,0.5,2.0,2.0,-2.5,2.0,-0.5
broad,KS 0,"$d\overline{s},s\overline{d}$",292,973.800,973.774,973.825,973.816,973.816,973.816,642844,642844,1,1,65910,0.00152,0.5,1.0,-2.0,-3.0,-2.5,-3.0,-0.5,0.5,1.0,-2.0,-3.0,-2.5,-3.0,-0.5
broad,KS 0,"$d\overline{s},s\overline{d}$",293,973.800,973.774,973.825,973.825,973.8,973.775,658224,658708,-483,483,10985,4.3969,0.5,1.0,-1.5,-0.5,-1.5,1.0,-0.5,0.5,1.0,-1.5,-0.5,2.5,-2.5,-1.0
broad,KS 0,"$d\overline{s},s\overline{d}$",294,973.800,973.774,973.825,973.823,973.8,973.777,673705,674469,-763,763,10985,6.94584,0.5,1.0,-1.0,2.0,0.5,2.0,0.0,0.5,1.0,-1.0,2.5,0.0,0.5,-0.5
broad,KS 0,"$d\overline{s},s\overline{d}$",295,973.800,973.774,973.825,973.818,973.797,973.776,622322,622327,-4,4,10985,0.03641,0.5,0.5,1.5,-2.5,2.0,-1.5,1.0,0.5,0.5,1.5,-2.5,2.0,-1.0,1.0
broad,KS 0,"$d\overline{s},s\overline{d}$",296,973.800,973.774,973.825,973.824,973.806,973.787,638932,640359,-1426,1426,65910,2.16356,0.5,0.5,2.0,1.0,-0.5,2.0,1.0,0.5,0.5,2.0,2.0,-2.5,2.0,-0.5
broad,Eta,$u\overline{u}+\overline{d}d-2s\overline{s}$,297,1072.139,1072.103,1072.174,1072.141,1072.125,1072.11,697748,697778,-29,29,10985,0.264,0.5,1.0,0.5,-3.0,-3.0,1.5,-1.0,0.5,1.0,0.5,-3.0,-2.5,-2.0,-1.0
broad,Eta,$u\overline{u}+\overline{d}d-2s\overline{s}$,298,1072.139,1072.103,1072.174,1072.168,1072.136,1072.105,713035,713274,-238,238,10985,2.16659,0.5,1.0,1.0,-0.5,-2.5,2.5,0.0,0.5,1.0,1.0,-0.5,-0.5,0.5,-0.5
broad,Eta,$u\overline{u}+\overline{d}d-2s\overline{s}$,299,1072.139,1072.103,1072.174,1072.171,1072.138,1072.105,729414,729061,354,354,10985,3.22258,0.5,1.0,1.5,2.5,0.0,2.5,-0.5,0.5,1.0,1.5,2.5,-2.5,-0.5,0.5
broad,Rho +-,"$u\overline{u},\overline{d}d$",316,1506,1505.0,1507.0,1505.0,1505.0,1505.0,939373,939413,-39,39,65910,0.05917,1.0,0.0,-2.0,-3.0,-3.0,-3.0,-1.0,1.0,0.0,-2.0,-3.0,-3.0,1.0,-1.0
broad,Rho +-,"$u\overline{u},\overline{d}d$",317,1506,1505.0,1507.0,1506.0,1506.0,1505.0,953550,953487,64,64,10985,0.58261,1.0,0.0,-1.5,-1.5,2.0,-2.5,0.0,1.0,0.0,-1.5,-1.5,1.5,-2.5,1.0
broad,Rho +-,"$u\overline{u},\overline{d}d$",318,1506,1505.0,1507.0,1506.0,1506.0,1505.0,971013,970405,609,609,10985,5.54392,1.0,0.0,-1.0,2.5,-0.5,2.0,-1.0,1.0,0.0,-1.0,2.0,1.5,-0.5,0.0
broad,Rho +-,"$u\overline{u},\overline{d}d$",319,1506,1505.0,1507.0,1506.0,1505.0,1505.0,919102,919081,22,22,10985,0.20027,1.0,-0.5,1.5,-2.0,-3.0,-2.5,1.0,1.0,-0.5,1.5,-2.5,3.0,2.0,0.5
broad,Rho +-,"$u\overline{u},\overline{d}d$",320,1506,1505.0,1507.0,1506.0,1506.0,1505.0,935277,936733,-1455,1455,65910,2.20756,1.0,-0.5,2.0,1.0,-2.5,3.0,1.0,1.0,-0.5,2.0,1.5,2.5,-0.5,-1.0
broad,Rho 0,$u\overline{u}-\overline{d}d$,317,1517.14,1516.65,1517.63,1517.61,1517.14,1516.66,952168,950687,1482,1482,10985,13.49112,1.0,0.0,-1.5,-2.0,-2.5,2.5,-1.0,1.0,0.0,-1.5,-3.0,-0.5,-3.0,1.0
broad,Rho 0,$u\overline{u}-\overline{d}d$,318,1517.14,1516.65,1517.63,1517.62,1517.14,1516.65,967445,968008,-562,562,10985,5.11607,1.0,0.0,-1.0,0.5,-2.0,2.5,0.0,1.0,0.0,-1.0,0.5,2.5,0.5,-1.0
broad,Rho 0,$u\overline{u}-\overline{d}d$,319,1517.14,1516.65,1517.63,1517.62,1517.15,1516.67,983056,982972,85,85,10985,0.77378,1.0,0.0,-0.5,3.0,1.5,-3.0,0.5,1.0,0.0,-0.5,3.0,0.5,1.5,1.0
broad,Rho 0,$u\overline{u}-\overline{d}d$,320,1517.14,1516.65,1517.63,1517.62,1517.14,1516.65,933343,933724,-380,380,65910,0.57654,1.0,-0.5,2.0,-0.5,2.5,-1.5,-1.0,1.0,-0.5,2.0,0.0,-1.0,-2.5,-0.5
broad,Omega,$u\overline{u}+\overline{d}d$,318,1531.62,1531.37,1531.87,1531.86,1531.61,1531.37,963266,963361,-94,94,10985,0.85571,1.0,0.0,-1.0,-2.0,-1.5,0.5,0.5,1.0,0.0,-1.0,-2.0,-0.5,-3.0,0.5
broad,Omega,$u\overline{u}+\overline{d}d$,319,1531.62,1531.37,1531.87,1531.86,1531.61,1531.37,978812,980993,-2180,2180,10985,19.84524,1.0,0.0,-0.5,0.5,1.0,1.5,1.0,1.0,0.0,-0.5,2.0,-1.5,-1.0,-1.0
broad,Omega,$u\overline{u}+\overline{d}d$,320,1531.62,1531.37,1531.87,1531.86,1531.62,1531.37,929300,929594,-293,293,65910,0.44455,1.0,-0.5,2.0,-2.5,-2.5,-3.0,0.0,1.0,-0.5,2.0,-2.5,-0.5,0.5,-0.5
broad,K* +-,"$d\overline{s},s\overline{d}$",324,1745.2,1745.1,1745.3,1745.2,1745.2,1745.1,1137521,1138939,-1417,1417,65910,2.1499,1.0,1.0,-2.0,-3.0,0.0,-0.5,0.5,1.0,1.0,-2.0,-2.0,-2.0,-1.5,-0.5
broad,K* +-,"$d\overline{s},s\overline{d}$",325,1745.2,1745.1,1745.3,1745.2,1745.1,1745.1,1154142,1153890,253,253,10985,2.30314,1.0,1.0,-1.5,0.5,-2.0,-2.5,1.0,1.0,1.0,-1.5,0.0,2.5,-1.5,0.0
broad,K* +-,"$d\overline{s},s\overline{d}$",326,1745.2,1745.1,1745.3,1745.2,1745.1,1745.1,1169970,1104478,65493,65493,10985,596.20391,1.0,1.0,-1.0,3.0,2.5,1.0,0.0,1.0,0.5,1.0,-3.0,-0.5,-2.5,-1.0
broad,K* +-,"$d\overline{s},s\overline{d}$",327,1745.2,1745.1,1745.3,1745.2,1745.1,1745.1,1118972,1119432,-459,459,10985,4.17843,1.0,0.5,1.5,-1.0,0.5,-3.0,1.0,1.0,0.5,1.5,-0.5,-2.5,-2.5,1.0
