particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,delta,,,862,,,,,,,,65910,1.30784,∆ abs(i)
,max,5.14,5.13,993110,0.5,-3.0,-0.5,1.5,0.5,-3.0,0.5,,,
,mean,4.18(-0.51)(0.96),4.4,-1509,,,,,,,,,,
,min,3.67,3.67,994620,0.5,-3.0,-0.5,3.0,-3.0,-2.0,-1.0,,,
,delta,,,1509,,,,,,,,10985,13.73691,∆ abs(i)
,total,,,7830,,,,,,,,138695,5.64548,Σ ∆i
d,particle,,,,,,,,,,,,,
,max,10.0,10.0,21,-0.5,3.0,0.5,-3.0,-3.0,-1.0,-1.0,,,
,mean,9.14(-0.33)(0.94),9.42,-144,,,,,,,,,,
,min,8.81,8.82,166,-0.5,3.0,0.5,-3.0,-2.0,0.5,-1.0,,,
,delta,,,144,,,,,,,,1430,10.06993,∆ abs(i)
,max,10.0,10.0,4709,-0.5,3.0,1.0,-1.5,2.5,-0.5,0.5,,,
,mean,9.14(-0.33)(0.94),9.44,0,,,,,,,,,,
,min,8.81,8.81,4710,-0.5,3.0,1.0,-1.5,2.5,-0.5,1.0,,,
,delta,,,0,,,,,,,,6737,0.0,∆ abs(i)
,max,10.0,10.0,18113,-0.5,3.0,1.5,2.5,2.0,-3.0,-1.0,,,
,mean,9.14(-0.33)(0.94),9.44,883,,,,,,,,,,
,min,8.81,8.81,17231,-0.5,3.0,1.5,2.0,1.5,-0.5,0.5,,,
,delta,,,883,,,,,,,,10971,8.04849,∆ abs(i)
,max,10.0,10.0,54020,0.0,-0.5,3.0,-2.0,-1.5,0.5,-0.5,,,
,mean,9.14(-0.33)(0.94),9.44,833,,,,,,,,,,
,min,8.81,8.81,53188,0.0,-0.5,3.0,-2.5,-1.5,1.5,1.0,,,
,delta,,,833,,,,,,,,4060,20.51724,∆ abs(i)
,max,10.0,10.0,60138,0.0,0.0,0.0,-1.0,-2.0,-0.5,-0.5,,,
,mean,9.14(-0.33)(0.94),9.44,-833,,,,,,,,,,
,min,8.81,8.81,60972,0.0,0.0,0.0,-0.5,-2.0,-1.5,-1.0,,,
,delta,,,833,,,,,,,,5561,14.97932,∆ abs(i)
,max,10.0,10.0,71098,0.0,0.0,0.5,2.0,0.5,0.0,-1.0,,,
,mean,9.14(-0.33)(0.94),9.44,1452,,,,,,,,,,
,min,8.81,8.82,69647,0.0,0.0,0.5,1.0,2.5,-2.5,1.0,,,
,delta,,,1452,,,,,,,,10628,13.66202,∆ abs(i)
,max,10.0,10.0,131445,0.0,0.5,-3.0,-1.0,-0.5,-1.0,1.0,,,
,mean,9.14(-0.33)(0.94),9.44,-2098,,,,,,,,,,
,min,8.81,8.81,133544,0.0,0.5,-3.0,0.0,3.0,-2.5,-1.0,,,
,delta,,,2098,,,,,,,,10985,19.09877,∆ abs(i)
,max,10.0,10.0,143147,0.0,0.5,-2.5,1.5,2.5,3.0,1.0,,,
,mean,9.14(-0.33)(0.94),9.44,-1912,,,,,,,,,,
,min,8.81,8.81,145060,0.0,0.5,-2.5,3.0,-2.0,-0.5,0.0,,,
,delta,,,1912,,,,,,,,10985,17.40555,∆ abs(i)
,max,10.0,10.0,983362,0.5,-3.0,-1.0,-1.5,-2.0,1.0,-1.0,,,
,mean,9.14(-0.33)(0.94),9.44,211,,,,,,,,,,
,min,8.81,8.81,983152,0.5,-3.0,-1.0,-2.0,3.0,-0.5,-1.0,,,
,delta,,,211,,,,,,,,65910,0.32013,∆ abs(i)
