base_scale,possible_ET,real_ET,hit_ratio
0.999,27609,1513,0.05480097069796081
0.9991,27610,1509,0.05465411082940964
0.9992,27611,1505,0.054507261598638224
0.9993,27611,1510,0.05468834884647423
0.9994,27609,1511,0.05472853055163172
0.9994999999999999,27609,1516,0.054909630917454454
0.9995999999999999,27609,1513,0.05480097069796081
0.9996999999999999,27608,1511,0.0547305128948131
0.9997999999999999,27608,1513,0.05480295566502463
0.9998999999999999,27608,1512,0.05476673427991886
1.0,27610,1504,0.05447301702281782
1.0001,27610,1500,0.05432814197754437
1.0002,27610,1501,0.05436436073886273
1.0003,27610,1503,0.054436798261499456
1.0004,27609,1508,0.05461987033213807
1.0005,27607,1508,0.054623827290180026
1.0006,27608,1506,0.054549405969284266
1.0007,27608,1505,0.054513184584178496
1.0008,27607,1504,0.05447893650161191
1.0009,27607,1507,0.054587604593038
1.001,27607,1507,0.054587604593038
