base_scale,possible_ET,real_ET,hit_ratio
0.997,810,131,0.1617283950617284
0.9973,813,132,0.16236162361623616
0.9976,811,133,0.16399506781750925
0.9979,842,131,0.15558194774346792
0.9982,935,150,0.16042780748663102
0.9984999999999999,1100,179,0.16272727272727272
0.9987999999999999,1294,212,0.16383307573415765
0.9991,1473,239,0.16225390359809913
0.9994,1577,260,0.1648700063411541
0.9996999999999999,1605,264,0.16448598130841122
1.0,1614,266,0.16480793060718713
1.0003,1613,259,0.1605703657780533
1.0006,1626,264,0.16236162361623616
1.0009,1671,280,0.1675643327348893
1.0011999999999999,1716,278,0.16200466200466201
1.0014999999999998,1771,293,0.16544325239977414
1.0017999999999998,1737,285,0.16407599309153714
1.0021,1683,272,0.16161616161616163
1.0024,1616,269,0.16646039603960397
1.0027,1612,259,0.1606699751861042
1.003,1612,261,0.1619106699751861
