particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,max,1745.3,1745.2,193330,1.0,0.5,2.0,3.0,-2.5,-2.0,0.0,,,
,mean,1745.2(1),1745.1,1179,,,,,,,,,,
,min,1745.1,1745.1,192152,1.0,0.5,2.0,2.0,1.5,-3.0,1.0,,,
,delta,,,1179,,,,,,,,65910,1.7888,∆ abs(i)
,max,1745.3,1745.2,501434,1.5,-2.0,-2.0,3.0,1.5,-1.5,-0.5,,,
,mean,1745.2(1),1745.1,1074,,,,,,,,,,
,min,1745.1,1745.1,500361,1.5,-2.0,-2.0,2.5,-0.5,1.5,0.5,,,
,delta,,,1074,,,,,,,,65910,1.62949,∆ abs(i)
,total,,,69875,,,,,,,,230685,30.29022,Σ ∆i
K* 0,particle,,,,,,,,,,,,,
,max,1752.6,1752.6,194169,1.0,1.0,-2.0,-3.0,-2.5,-2.5,-0.5,,,
,mean,1752.6(1),1752.6,-198,,,,,,,,,,
,min,1752.5,1752.5,194368,1.0,1.0,-2.0,-3.0,-1.0,-2.0,-1.0,,,
,delta,,,198,,,,,,,,65910,0.30041,∆ abs(i)
,max,1752.6,1752.6,209410,1.0,1.0,-1.5,-0.5,-2.5,0.5,0.0,,,
,mean,1752.6(1),1752.6,113,,,,,,,,,,
,min,1752.5,1752.5,209298,1.0,1.0,-1.5,-1.0,3.0,2.5,-1.0,,,
,delta,,,113,,,,,,,,10985,1.02868,∆ abs(i)
,max,1752.6,1752.6,226354,1.0,1.0,-1.0,3.0,-2.0,-1.5,-0.5,,,
,mean,1752.6(1),1752.6,106,,,,,,,,,,
,min,1752.5,1752.5,226249,1.0,1.0,-1.0,3.0,-3.0,1.0,-0.5,,,
,delta,,,106,,,,,,,,10985,0.96495,∆ abs(i)
,max,1752.6,1752.6,174127,1.0,0.5,1.5,-2.0,-1.0,1.5,1.0,,,
,mean,1752.6(1),1752.6,-787,,,,,,,,,,
,min,1752.5,1752.5,174915,1.0,0.5,1.5,-1.5,-1.5,2.5,0.0,,,
,delta,,,787,,,,,,,,10985,7.16431,∆ abs(i)
,max,1752.6,1752.6,190906,1.0,0.5,2.0,1.5,-2.0,2.5,0.5,,,
,mean,1752.6(1),1752.5,-847,,,,,,,,,,
,min,1752.5,1752.5,191754,1.0,0.5,2.0,2.0,-2.0,3.0,-0.5,,,
,delta,,,847,,,,,,,,65910,1.28509,∆ abs(i)
,max,1752.6,1752.6,500263,1.5,-2.0,-2.0,2.5,-1.0,-1.5,-1.0,,,
,mean,1752.6(1),1752.5,511,,,,,,,,,,
,min,1752.5,1752.5,499753,1.5,-2.0,-2.0,2.0,1.5,-0.5,-1.0,,,
,delta,,,511,,,,,,,,65910,0.7753,∆ abs(i)
,total,,,2562,,,,,,,,230685,1.11061,Σ ∆i
Proton,particle,,,,,,,,,,,,,
,max,1836.152673458,1836.152673408,267332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
,mean,1836.152673426(32),1836.152673408,1,,,,,,,,,,
,min,1836.152673394,1836.152673408,267332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
