particle,row_type,theory,E,E_m,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note,Polynom
,max,10.0,10.0,,14940,0.0,0.0,0.5,2.0,0.5,0.0,-1.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.5(2π)^2  -(2.5 (2π)^1 + 3.0(2π)^0 + 0.0(2π)^-1)  + 1.25*2(2π)^(-3)  + 1.25*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  - (2π)^(-4)  - (2π)^(-3)  +  (+ π^-12 + 2π^-14)
,mean,9.14(-0.33)(0.94),9.44,,1452,,,,,,,,,,,
,min,8.81,8.82,,13489,0.0,0.0,0.5,1.0,2.5,-2.5,1.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.5(2π)^2  -(2.5 (2π)^1 + 3.0(2π)^0 + 0.0(2π)^-1)  + 1.25*2(2π)^(-3)  + 1.25*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  - (2π)^(-4)  - (2π)^(-3)  +  (+ π^-12 + 2π^-14)
,delta,,,,1452,,,,,,,,1,145200.0,∆ abs(i),
,total,,,10.079706621009507,2285,0.0,0.0,0.0,-0.5,-2.0,-1.5,-1.0,2,114250.0,Σ ∆i,
,total,,,8.81421275279558,0,0.0,0.0,0.0,-0.5,-2.0,-1.5,-1.0,0,114250.0,Σ ∆i,
s,particle,,,,,,,,,,,,,,,
,max,199.6,189.2,,115498,0.0,0.5,1.0,-3.0,-3.0,-3.0,-1.0,,,,0.0 (2π)^4 + 0.5(2π)^3 + 1.0(2π)^2  -(-3.0 (2π)^1 + -3.0(2π)^0 + -3.0(2π)^-1)  + -3.0*2(2π)^(-4)  - -1.5*2(2π)^(-2)  + 1.5*2(2π)^(-8)  + 3.0*2(2π)^(-8)  + 1.0 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,182.8(-6.6)(16.8),182.7,,-2345,,,,,,,,,,,
,min,176.2,176.2,,117844,0.0,0.5,1.0,-2.0,2.0,-2.5,-0.5,,,,0.0 (2π)^4 + 0.5(2π)^3 + 1.0(2π)^2  -(-2.0 (2π)^1 + 2.0(2π)^0 + -2.5(2π)^-1)  + 2.0*2(2π)^(-4)  - -1.0*2(2π)^(-2)  + 1.0*2(2π)^(-8)  + 2.0*2(2π)^(-8)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,2345,,,,,,,,1,234500.0,∆ abs(i),
,max,199.6,199.5,,128294,0.0,0.5,1.5,-2.0,-2.5,2.5,-0.5,,,,0.0 (2π)^4 + 0.5(2π)^3 + 1.5(2π)^2  -(-2.0 (2π)^1 + -2.5(2π)^0 + 2.5(2π)^-1)  + -3.75*2(2π)^(-4)  - -1.0*2(2π)^(-2)  + 1.0*2(2π)^(-8)  + 3.75*2(2π)^(-8)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,182.8(-6.6)(16.8),187.9,,-5694,,,,,,,,,,,
,min,176.2,176.2,,133989,0.0,0.5,1.5,1.0,2.5,0.0,-0.5,,,,0.0 (2π)^4 + 0.5(2π)^3 + 1.5(2π)^2  -(1.0 (2π)^1 + 2.5(2π)^0 + 0.0(2π)^-1)  + 3.75*2(2π)^(-4)  - 0.5*2(2π)^(-2)  + 0.5*2(2π)^(-8)  + 3.75*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,5694,,,,,,,,1,569400.0,∆ abs(i),
,max,199.6,199.5,,143067,0.0,0.5,2.0,0.0,1.0,-2.5,1.0,,,,0.0 (2π)^4 + 0.5(2π)^3 + 2.0(2π)^2  -(0.0 (2π)^1 + 1.0(2π)^0 + -2.5(2π)^-1)  + 0.5*2(2π)^(-3)  + -5.0*2(2π)^(-5)  + 0.5*2(2π)^(-8)  + 5.0*2(2π)^(-8)  - (2π)^(-1)  - (2π)^(0)  + 1.0 (- π + 2π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
