sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
minimal,e,e,256,1.00000000000,0.995,1.0,0.99577371714,0.99577371714,0.99577371714,5899,5899,1,1,5561,0.01798,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5
minimal,e,e,257,1.00000000000,0.995,1.0,0.99881712093,0.99881712093,0.99881712093,16068,16068,1,1,10628,0.00941,0.0,0.0,0.5,2.5,3.0,0.0,0.0,0.0,0.0,0.5,2.5,3.0,0.0,0.0
minimal,u,u,255,4.18,3.67,5.14,5.13,4.4,3.68,74,35,40,40,443,9.02935,0.0,0.0,-0.5,-3.0,-2.5,-0.5,-1.0,0.0,0.0,-0.5,-3.0,-3.0,1.0,-0.5
minimal,u,u,256,4.18,3.67,5.14,5.13,4.4,3.67,3648,3793,-144,144,5561,2.58946,0.0,0.0,0.0,-1.5,2.0,-1.5,1.0,0.0,0.0,0.0,-1.5,3.0,0.0,1.0
minimal,u,u,257,4.18,3.67,5.14,5.13,4.4,3.67,15552,15972,-419,419,10628,3.94242,0.0,0.0,0.5,2.5,-1.5,2.5,0.0,0.0,0.0,0.5,2.5,2.0,0.5,-0.5
minimal,d,d,256,9.14,8.81,10.0,10.0,9.44,8.81,3980,4814,-833,833,5561,14.97932,0.0,0.0,0.0,-1.0,-2.0,-0.5,-0.5,0.0,0.0,0.0,-0.5,-2.0,-1.5,-1.0
minimal,d,d,257,9.14,8.81,10.0,10.0,9.44,8.82,14940,13489,1452,1452,10628,13.66202,0.0,0.0,0.5,2.0,0.5,0.0,-1.0,0.0,0.0,0.5,1.0,2.5,-2.5,1.0
