sector,particle,particle_symbol,theory_E,sum_abs_delta_i,total_counts,delta_i_percent
nucleon,Proton,uud,1836.152673426,1,10985,0.0091
nucleon,H,H,1837.47,700,21970,3.18616
nucleon,Neutron,udd,1838.68366200,1,10985,0.0091
