base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99900000,137458,6721,0.0488949352,electron,3,0.0000218248
0.99910000,137459,6715,0.0488509301,electron,2,0.0000145498
0.99920000,137459,6709,0.0488072807,electron,2,0.0000145498
0.99930000,137459,6698,0.0487272569,electron,3,0.0000218247
0.99940000,137460,6694,0.0486978030,electron,2,0.0000145497
0.99950000,137459,6691,0.0486763326,electron,2,0.0000145498
0.99960000,137459,6687,0.0486472330,electron,2,0.0000145498
0.99970000,137458,6680,0.0485966623,electron,2,0.0000145499
0.99980000,137458,6684,0.0486257621,electron,4,0.0000290998
0.99990000,137458,6673,0.0485457376,electron,4,0.0000290998
1.00000000,137460,6664,0.0484795577,electron,1,0.0000072748
1.00010000,137460,6652,0.0483922596,electron,1,0.0000072748
1.00020000,137460,6645,0.0483413357,electron,1,0.0000072748
1.00030000,137460,6641,0.0483122363,electron,0,0.0000000000
1.00040000,137458,6645,0.0483420390,electron,3,0.0000218248
1.00050000,137458,6642,0.0483202142,electron,4,0.0000290998
1.00060000,137458,6638,0.0482911144,electron,3,0.0000218248
1.00070000,137458,6632,0.0482474647,electron,2,0.0000145499
1.00080000,137456,6632,0.0482481667,electron,3,0.0000218252
1.00090000,137457,6614,0.0481168656,electron,3,0.0000218250
1.00100000,137457,6619,0.0481532406,electron,3,0.0000218250
