base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99000000,137464,7384,0.0537158820,d,697,0.0050704184
0.99100000,137463,7257,0.0527923878,d,692,0.0050340819
0.99200000,137462,7161,0.0520943970,d,690,0.0050195690
0.99300000,137462,7074,0.0514614948,d,694,0.0050486680
0.99400000,137461,7012,0.0510108322,d,687,0.0049977812
0.99500000,137460,6952,0.0505747126,d,686,0.0049905427
0.99600000,137461,6887,0.0501014833,d,686,0.0049905064
0.99700000,137462,6820,0.0496137114,d,683,0.0049686459
0.99800000,137458,6777,0.0493023323,d,683,0.0049687905
0.99900000,137458,6721,0.0488949352,d,687,0.0049978903
1.00000000,137460,6664,0.0484795577,d,684,0.0049759930
1.00100000,137457,6619,0.0481532406,d,685,0.0049833766
1.00200000,137456,6563,0.0477461879,d,682,0.0049615877
1.00300000,137457,6499,0.0472802404,d,681,0.0049542766
1.00400000,137457,6452,0.0469383153,d,682,0.0049615516
1.00500000,137457,6399,0.0465527401,d,682,0.0049615516
1.00600000,137459,6330,0.0460500949,d,678,0.0049323798
1.00700000,137458,6281,0.0456939574,d,682,0.0049615155
1.00800000,137455,6242,0.0454112255,d,683,0.0049688989
1.00900000,137456,6178,0.0449452916,d,681,0.0049543127
1.01000000,137453,6132,0.0446116127,d,680,0.0049471456
