base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99700000,137462,6820,0.0496137114,,,
0.99730000,137461,6810,0.0495413244,,,
0.99760000,137460,6795,0.0494325622,,,
0.99790000,137460,6779,0.0493161647,,,
0.99820000,137460,6764,0.0492070420,,,
0.99850000,137461,6740,0.0490320891,,,
0.99880000,137457,6732,0.0489753159,,,
0.99910000,137459,6715,0.0488509301,,,
0.99940000,137460,6694,0.0486978030,,,
0.99970000,137458,6680,0.0485966623,,,
1.00000000,137460,6664,0.0484795577,,,
1.00030000,137460,6641,0.0483122363,,,
1.00060000,137458,6638,0.0482911144,,,
1.00090000,137457,6614,0.0481168656,,,
1.00120000,137458,6609,0.0480801408,,,
1.00150000,137456,6592,0.0479571645,,,
1.00180000,137456,6573,0.0478189384,,,
1.00210000,137457,6558,0.0477094655,,,
1.00240000,137458,6539,0.0475708944,,,
1.00270000,137459,6512,0.0473741261,,,
1.00300000,137457,6499,0.0472802404,,,
