sector;particle_key;particle_name;symbol;theory_str;theory_E;sd_minus;sd_plus;m_bin;E_mean;E_min;E_max;i_T_min;i_T_max;delta_i;counts;delta_i_over_counts;min_i4;min_i3;min_i2;min_i1;min_i0;min_i_minus_1;min_C;max_i4;max_i3;max_i2;max_i1;max_i0;max_i_minus_1;max_C
112|nucleon;omega;Omega;ω;1531.62(25);1531.62;-0.25;0.25;320;1531.618611019542;1531.3713284450416;1531.8658935940423;928515;930231;1717;1851;0.9276066990815776;2;-1;4;-4;-4;-5;-2;2;-1;4;-5;-2;0;-1
112|nucleon;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;324;1752.593004649325;1752.5343062132174;1752.6517030854325;1137107;1137421;315;22296;0.014128094725511303;2;2;-4;-6;-6;-4;-1;2;2;-4;-6;-2;-5;-2
112|nucleon;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;325;1752.598699098794;1752.5009161562505;1752.6964820413373;1150610;1153356;2747;16261;0.16893180001229938;2;2;-3;-3;6;0;1;2;2;-3;0;-4;1;-2
112|nucleon;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;326;1752.6026057899794;1752.5052404952582;1752.6999710847006;1167305;1169546;2242;21466;0.10444423739867698;2;2;-2;4;2;-2;1;2;2;-2;6;-5;-2;-1
112|nucleon;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;327;1752.5978826751666;1752.5018400211723;1752.6939253291612;1116660;1118756;2097;3631;0.5775268521068576;2;1;3;-3;0;5;-1;2;1;3;-2;-6;-4;-1
112|nucleon;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;328;1752.6010060121407;1752.5034929911262;1752.6985190331552;1132825;1134971;2147;8861;0.2422977090621826;2;1;4;3;2;2;-1;2;1;4;3;-2;5;0
112|nucleon;h_atom;H;H;1837.47(-0.29)(0.20);1837.47;-0.29;0.2;329;1837.4281428157185;1837.1878893693909;1837.6683962620461;1193495;1195661;2167;3641;0.595166163141994;2;2;1;-5;6;5;1;2;2;1;-3;2;4;-2
112|nucleon;h_atom;H;H;1837.47(-0.29)(0.20);1837.47;-0.29;0.2;330;1837.4221665344733;1837.1801891911161;1837.6641438778304;1209675;1211856;2182;8851;0.24652581629194442;2;2;2;4;-4;-4;-1;2;2;2;3;4;3;-2
112|nucleon;neutron;Neutron;n;1838.68366200(74);1838.683662;-7.4e-07;7.4e-07;;;;;;;;;;;;;;;;;;;;;;;;
112|nucleon;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;331;1874.319579261762;1874.2105600722366;1874.4285984512876;1216255;1218376;2122;4386;0.483812129502964;2;2;3;-1;-4;-2;-2;2;2;3;-2;-2;3;-1
112|nucleon;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;332;1874.3204788065982;1874.211977358269;1874.4289802549276;1232430;1234561;2132;9586;0.222407677863551;2;2;4;5;-6;3;-1;2;2;4;4;-6;1;1
112|nucleon;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;;;;;;;;;;;;;;;;;;;;;;;;
112|nucleon;deuteron;Deuteron;D;3670.4829677(11);3670.4829677;-1.1e-06;1.1e-06;;;;;;;;;;;;;;;;;;;;;;;;
112|nucleon;higgs;Higgs;Higgs;244830(210);244830.0;-210.0;210.0;;;;;;;;;;;;;;;;;;;;;;;;
