sector;particle_key;particle_name;symbol;theory_str;theory_E;sd_minus;sd_plus;m_bin;E_mean;E_min;E_max;i_T_min;i_T_max;delta_i;counts;delta_i_over_counts;min_i4;min_i3;min_i2;min_i1;min_i0;min_i_minus_1;min_C;max_i4;max_i3;max_i2;max_i1;max_i0;max_i_minus_1;max_C
222|c_tau;eta;Eta;η;1072.139(35);1072.139;-0.035;0.035;305;1072.1374899208909;1072.1040336561753;1072.1709461856067;1397060;1399146;2087;20381;0.10239929345959473;2;-4;1;2;5;-4;1;2;-4;1;2;5;-5;1
222|c_tau;rho_0;Rho 0;ρ0;1517.14(49);1517.14;-0.49;0.49;317;1517.140668769915;1516.651976849437;1517.629360690393;1741435;1743356;1922;13071;0.14704307245046286;2;0;-3;-5;1;-6;-1;2;0;-3;-6;-2;4;1
222|c_tau;rho_0;Rho 0;ρ0;1517.14(49);1517.14;-0.49;0.49;318;1517.1397773428614;1516.6536099996745;1517.6259446860483;1757130;1759861;2732;18591;0.14695282663654458;2;0;-2;0;0;-2;2;2;0;-2;2;-2;-5;-2
222|c_tau;rho_0;Rho 0;ρ0;1517.14(49);1517.14;-0.49;0.49;319;1517.1405012515843;1516.6541103320644;1517.6268921711044;1708317;1774203;65887;21948;3.001959176234737;2;0;-1;6;1;0;2;2;0;-1;6;4;3;0
222|c_tau;rho_0;Rho 0;ρ0;1517.14(49);1517.14;-0.49;0.49;320;1517.1380036423998;1516.6576109910459;1517.618396293754;1722590;1725246;2657;5946;0.4468550285906492;2;-1;4;-1;3;-3;-1;2;-1;4;-2;1;4;1
222|c_tau;omega;Omega;ω;1531.62(25);1531.62;-0.25;0.25;318;1531.6199548378754;1531.3705184039534;1531.8693912717972;1753095;1755726;2632;14456;0.18206972883231876;2;0;-2;-4;-5;4;2;2;0;-2;-5;5;3;0
222|c_tau;omega;Omega;ω;1531.62(25);1531.62;-0.25;0.25;319;1531.6220917207975;1531.3749473596392;1531.8692360819555;1769710;1771901;2192;19646;0.11157487529268044;2;0;-1;2;-2;-5;2;2;0;-1;3;-4;-6;0
222|c_tau;omega;Omega;ω;1531.62(25);1531.62;-0.25;0.25;320;1531.618611019542;1531.3713284450416;1531.8658935940423;1719435;1721151;1717;1851;0.9276066990815776;2;-1;4;-4;-4;-5;-2;2;-1;4;-5;-2;0;-1
222|c_tau;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;324;1752.593004649325;1752.5343062132174;1752.6517030854325;1928027;1928341;315;22296;0.014128094725511303;2;2;-4;-6;-6;-4;-1;2;2;-4;-6;-2;-5;-2
222|c_tau;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;325;1752.598699098794;1752.5009161562505;1752.6964820413373;1941530;1944276;2747;16261;0.16893180001229938;2;2;-3;-3;6;0;1;2;2;-3;0;-4;1;-2
222|c_tau;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;326;1752.6026057899794;1752.5052404952582;1752.6999710847006;1958225;1960466;2242;21466;0.10444423739867698;2;2;-2;4;2;-2;1;2;2;-2;6;-5;-2;-1
222|c_tau;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;327;1752.5978826751666;1752.5018400211723;1752.6939253291612;1907580;1909676;2097;3631;0.5775268521068576;2;1;3;-3;0;5;-1;2;1;3;-2;-6;-4;-1
222|c_tau;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;328;1752.6010060121407;1752.5034929911262;1752.6985190331552;1923745;1925891;2147;8861;0.2422977090621826;2;1;4;3;2;2;-1;2;1;4;3;-2;5;0
222|c_tau;kstar_0;K* 0;K*0;1752.6(1);1752.6;-0.1;0.1;332;1752.598868385343;1752.5001084027826;1752.6976283679035;2231295;2234751;3457;43096;0.08021626136996474;3;-4;-4;2;6;6;-1;3;-4;-4;1;5;4;2
222|c_tau;h_atom;H;H;1837.47(-0.29)(0.20);1837.47;-0.29;0.2;328;1837.4256374274128;1837.1820134088557;1837.66926144597;2034480;2037541;3062;32631;0.09383714872360639;2;3;-4;4;-4;6;1;2;3;-4;4;1;6;-1
222|c_tau;h_atom;H;H;1837.47(-0.29)(0.20);1837.47;-0.29;0.2;329;1837.4281428157185;1837.1878893693909;1837.6683962620461;1984415;1986581;2167;3641;0.595166163141994;2;2;1;-5;6;5;1;2;2;1;-3;2;4;-2
222|c_tau;h_atom;H;H;1837.47(-0.29)(0.20);1837.47;-0.29;0.2;330;1837.4221665344733;1837.1801891911161;1837.6641438778304;2000595;2002776;2182;8851;0.24652581629194442;2;2;2;4;-4;-4;-1;2;2;2;3;4;3;-2
222|c_tau;h_atom;H;H;1837.47(-0.29)(0.20);1837.47;-0.29;0.2;335;1837.4201724887416;1837.1814149748773;1837.658930002606;2257955;2260241;2287;24646;0.09279396250912927;3;-4;-1;-4;2;-3;-2;3;-4;-1;-6;2;-4;2
222|c_tau;h_atom;H;H;1837.47(-0.29)(0.20);1837.47;-0.29;0.2;336;1837.4236158622998;1837.1800748922371;1837.6671568323623;2274140;2276416;2277;29836;0.07631720069714439;3;-4;0;3;-2;-6;-2;3;-4;0;0;2;2;2
222|c_tau;h_atom;H;H;1837.47(-0.29)(0.20);1837.47;-0.29;0.2;337;1837.4307992955019;1837.2102243242537;1837.6513742667498;2290370;2290519;150;21969;0.006827802813054759;3;-4;1;6;5;1;2;3;-4;1;6;4;2;2
222|c_tau;neutron;Neutron;n;1838.68366200(74);1838.683662;-7.4e-07;7.4e-07;;;;;;;;;;;;;;;;;;;;;;;;
222|c_tau;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;328;1874.308932945933;1874.211656342178;1874.406209549688;2026884;2027806;923;22896;0.040312718378756114;2;3;-4;-5;-6;-6;-1;2;3;-4;-6;-1;0;-2
222|c_tau;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;329;1874.316919824368;1874.2103284325535;1874.4235112161823;2041170;2044041;2872;17161;0.16735621467280462;2;3;-3;-1;0;4;0;2;3;-3;-1;1;-2;0
222|c_tau;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;330;1874.31999455191;1874.213443528517;1874.4265455753027;2057810;2059706;1897;21841;0.08685499748180028;2;3;-2;5;-3;5;1;2;3;-2;6;4;-4;-2
222|c_tau;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;331;1874.319579261762;1874.2105600722366;1874.4285984512876;2007175;2009296;2122;4386;0.483812129502964;2;2;3;-1;-4;-2;-2;2;2;3;-2;-2;3;-1
222|c_tau;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;332;1874.3204788065982;1874.211977358269;1874.4289802549276;2023350;2025481;2132;9586;0.222407677863551;2;2;4;5;-6;3;-1;2;2;4;4;-6;1;1
222|c_tau;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;336;1874.3201282752643;1874.210554566665;1874.4297019838637;2330820;2333821;3002;43301;0.06932865291794647;3;-3;-4;3;4;-1;1;3;-3;-4;4;-5;2;1
222|c_tau;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;337;1874.319930976827;1874.2150859560072;1874.4247759976465;2280355;2282926;2572;14376;0.17890929326655536;3;-4;1;-4;-6;1;2;3;-4;1;-4;-3;-6;1
222|c_tau;eta_prime;Eta`;η′;1874.32(11);1874.32;-0.11;0.11;338;1874.3218510151257;1874.2155551243827;1874.4281469058687;2296975;2299076;2102;19541;0.10756870170410932;3;-4;2;3;-5;-3;0;3;-4;2;3;-3;6;-1
222|c_tau;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;332;1995.0351292658593;1995.0048166838299;1995.065441847889;2125835;2127576;1742;23801;0.07319020209234905;2;4;-4;-6;-2;5;-1;2;4;-4;-5;3;-5;-2
222|c_tau;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;333;1995.0329982388612;1995.0054922173672;1995.060504260355;2140825;2143586;2762;17841;0.15481195000280254;2;4;-3;1;-1;3;-2;2;4;-3;1;-2;-1;-1
222|c_tau;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;334;1995.0357105631758;1995.0065559151356;1995.064865211216;2092826;2158662;65837;21932;3.001869414554076;2;4;-2;5;3;6;1;2;4;-2;6;4;3;-1
222|c_tau;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;335;1995.0351862264995;1995.008463826121;1995.061908626878;2106920;2109051;2132;5276;0.4040940106141016;2;3;3;-1;-5;5;0;2;3;3;-1;-1;-3;-1
222|c_tau;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;336;1995.0357198356833;1995.0068037793208;1995.0646358920455;2123085;2125171;2087;10411;0.20046105081164153;2;3;4;6;-6;6;-1;2;3;4;6;-6;4;-1
222|c_tau;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;340;1995.037753887195;1995.0113714412478;1995.0641363331424;2431245;2432961;1717;43576;0.03940242335230402;3;-2;-4;5;-6;4;1;3;-2;-4;5;1;-5;1
222|c_tau;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;341;1995.0353670373343;1995.0053171858617;1995.0654168888066;2380085;2382656;2572;4256;0.6043233082706767;3;-3;1;-3;-4;6;1;3;-3;1;-3;3;0;-1
222|c_tau;phi;Phi;φ;1995.035(31);1995.035;-0.031;0.031;342;1995.0385110749203;1995.012967120068;1995.0640550297728;2396710;2398811;2102;9426;0.22300021217907914;3;-3;2;3;-2;5;1;3;-3;2;2;4;6;1
222|c_tau;deuteron;Deuteron;D;3670.4829677(11);3670.4829677;-1.1e-06;1.1e-06;;;;;;;;;;;;;;;;;;;;;;;;
222|c_tau;higgs;Higgs;Higgs;244830(210);244830.0;-210.0;210.0;;;;;;;;;;;;;;;;;;;;;;;;
