base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.90000000,27648,1772,0.0640914352,u,992,0.0358796296
0.91000000,27646,1730,0.0625768646,u,969,0.0350502785
0.92000000,27644,1694,0.0612791202,u,945,0.0341846332
0.93000000,27644,1672,0.0604832875,u,931,0.0336781942
0.94000000,27644,1651,0.0597236290,u,917,0.0331717552
0.95000000,27635,1641,0.0593812195,u,902,0.0326397684
0.96000000,27633,1620,0.0586255564,u,892,0.0322802446
0.97000000,27629,1588,0.0574758406,u,872,0.0315610409
0.98000000,27620,1567,0.0567342505,u,861,0.0311730630
0.99000000,27614,1541,0.0558050264,u,839,0.0303831390
1.00000000,27610,1504,0.0544730170,u,819,0.0296631655
1.01000000,27603,1489,0.0539434119,u,803,0.0290910408
1.02000000,27601,1462,0.0529690953,u,789,0.0285859208
1.03000000,27600,1438,0.0521014493,u,770,0.0278985507
1.04000000,27596,1417,0.0513480215,u,755,0.0273590375
1.05000000,27588,1389,0.0503479774,u,736,0.0266782659
1.06000000,27583,1376,0.0498857992,u,730,0.0264655766
1.07000000,27581,1339,0.0485479134,u,705,0.0255610747
1.08000000,27574,1325,0.0480525132,u,690,0.0250235729
1.09000000,27568,1310,0.0475188624,u,676,0.0245211840
1.10000000,27561,1289,0.0467689852,u,657,0.0238380320
