base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99000000,27614,1541,0.0558050264,electron,5,0.0001810676
0.99100000,27613,1531,0.0554448991,electron,4,0.0001448593
0.99200000,27612,1532,0.0554831233,electron,5,0.0001810807
0.99300000,27612,1530,0.0554106910,electron,4,0.0001448646
0.99400000,27611,1522,0.0551229582,electron,4,0.0001448698
0.99500000,27610,1519,0.0550162984,electron,3,0.0001086563
0.99600000,27611,1517,0.0549418710,electron,1,0.0000362174
0.99700000,27612,1509,0.0546501521,electron,3,0.0001086484
0.99800000,27608,1514,0.0548391771,electron,4,0.0001448855
0.99900000,27608,1513,0.0548029557,electron,3,0.0001086642
1.00000000,27610,1504,0.0544730170,electron,1,0.0000362188
1.00100000,27607,1508,0.0546238273,electron,3,0.0001086681
1.00200000,27606,1506,0.0545533580,electron,4,0.0001448960
1.00300000,27607,1497,0.0542253776,electron,1,0.0000362227
1.00400000,27607,1499,0.0542978230,electron,1,0.0000362227
1.00500000,27607,1501,0.0543702684,electron,2,0.0000724454
1.00600000,27609,1487,0.0538592488,electron,1,0.0000362201
1.00700000,27608,1489,0.0539336424,electron,3,0.0001086642
1.00800000,27605,1494,0.0541206303,electron,4,0.0001449013
1.00900000,27606,1487,0.0538651018,electron,3,0.0001086720
1.01000000,27603,1489,0.0539434119,electron,6,0.0002173677
