base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99900000,27608,1513,0.0548029557,d,687,0.0248840916
0.99910000,27609,1513,0.0548009707,d,689,0.0249556304
0.99920000,27609,1508,0.0546198703,d,688,0.0249194103
0.99930000,27609,1508,0.0546198703,d,688,0.0249194103
0.99940000,27610,1508,0.0546178921,d,687,0.0248822890
0.99950000,27609,1513,0.0548009707,d,689,0.0249556304
0.99960000,27609,1514,0.0548371908,d,689,0.0249556304
0.99970000,27608,1512,0.0547667343,d,687,0.0248840916
0.99980000,27608,1514,0.0548391771,d,688,0.0249203130
0.99990000,27608,1512,0.0547667343,d,686,0.0248478702
1.00000000,27610,1504,0.0544730170,d,684,0.0247736327
1.00010000,27610,1500,0.0543281420,d,681,0.0246649765
1.00020000,27610,1501,0.0543643607,d,681,0.0246649765
1.00030000,27610,1502,0.0544005795,d,682,0.0247011952
1.00040000,27608,1508,0.0546218487,d,684,0.0247754274
1.00050000,27608,1508,0.0546218487,d,682,0.0247029846
1.00060000,27608,1506,0.0545494060,d,681,0.0246667633
1.00070000,27608,1506,0.0545494060,d,682,0.0247029846
1.00080000,27606,1507,0.0545895820,d,682,0.0247047743
1.00090000,27607,1505,0.0545151592,d,682,0.0247038795
1.00100000,27607,1508,0.0546238273,d,685,0.0248125475
