base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99000000,27614,1541,0.0558050264,u,839,0.0303831390
0.99100000,27613,1531,0.0554448991,u,835,0.0302393800
0.99200000,27612,1532,0.0554831233,u,837,0.0303129074
0.99300000,27612,1530,0.0554106910,u,832,0.0301318267
0.99400000,27611,1522,0.0551229582,u,831,0.0300967006
0.99500000,27610,1519,0.0550162984,u,830,0.0300615719
0.99600000,27611,1517,0.0549418710,u,830,0.0300604831
0.99700000,27612,1509,0.0546501521,u,823,0.0298058815
0.99800000,27608,1514,0.0548391771,u,827,0.0299550855
0.99900000,27608,1513,0.0548029557,u,823,0.0298101999
1.00000000,27610,1504,0.0544730170,u,819,0.0296631655
1.00100000,27607,1508,0.0546238273,u,820,0.0297026117
1.00200000,27606,1506,0.0545533580,u,820,0.0297036876
1.00300000,27607,1497,0.0542253776,u,815,0.0295214982
1.00400000,27607,1499,0.0542978230,u,816,0.0295577209
1.00500000,27607,1501,0.0543702684,u,817,0.0295939436
1.00600000,27609,1487,0.0538592488,u,808,0.0292658191
1.00700000,27608,1489,0.0539336424,u,804,0.0291219936
1.00800000,27605,1494,0.0541206303,u,807,0.0292338345
1.00900000,27606,1487,0.0538651018,u,803,0.0290878794
1.01000000,27603,1489,0.0539434119,u,803,0.0290910408
