sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
heavy,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,325,1752.598699098794,1752.5009161562505,1752.6964820413373,207442,210188,2747,16261,0.16893180001229938,2,2,-3,-3,6,0,1,2,2,-3,0,-4,1,-2
heavy,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,326,1752.6026057899794,1752.5052404952582,1752.6999710847006,224137,226378,2242,21466,0.10444423739867698,2,2,-2,4,2,-2,1,2,2,-2,6,-5,-2,-1
heavy,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,327,1752.5978826751666,1752.5018400211723,1752.6939253291612,173492,175588,2097,3631,0.5775268521068576,2,1,3,-3,0,5,-1,2,1,3,-2,-6,-4,-1
heavy,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,328,1752.6010060121407,1752.5034929911262,1752.6985190331552,189657,191803,2147,8861,0.2422977090621826,2,1,4,3,2,2,-1,2,1,4,3,-2,5,0
heavy,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,332,1752.598868385343,1752.5001084027826,1752.6976283679035,497207,500663,3457,43096,0.08021626136996474,3,-4,-4,2,6,6,-1,3,-4,-4,1,5,4,2
heavy,proton,Proton,p,1836.152673426(32),1836.152673426,-3.2e-08,3.2e-08,,,,,,,,,,,,,,,,,,,,,,,,
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,328,1837.4256374274128,1837.1820134088557,1837.66926144597,300392,303453,3062,32631,0.09383714872360639,2,3,-4,4,-4,6,1,2,3,-4,4,1,6,-1
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,329,1837.4281428157185,1837.1878893693909,1837.6683962620461,250327,252493,2167,3641,0.595166163141994,2,2,1,-5,6,5,1,2,2,1,-3,2,4,-2
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,330,1837.4221665344733,1837.1801891911161,1837.6641438778304,266507,268688,2182,8851,0.24652581629194442,2,2,2,4,-4,-4,-1,2,2,2,3,4,3,-2
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,335,1837.4201724887416,1837.1814149748773,1837.658930002606,523867,526153,2287,24646,0.09279396250912927,3,-4,-1,-4,2,-3,-2,3,-4,-1,-6,2,-4,2
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,336,1837.4236158622998,1837.1800748922371,1837.6671568323623,540052,542328,2277,29836,0.07631720069714439,3,-4,0,3,-2,-6,-2,3,-4,0,0,2,2,2
heavy,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,337,1837.4307992955019,1837.2102243242537,1837.6513742667498,556282,556431,150,21969,0.006827802813054759,3,-4,1,6,5,1,2,3,-4,1,6,4,2,2
heavy,neutron,Neutron,n,1838.68366200(74),1838.683662,-7.4e-07,7.4e-07,,,,,,,,,,,,,,,,,,,,,,,,
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,328,1874.308932945933,1874.211656342178,1874.406209549688,292796,293718,923,22896,0.040312718378756114,2,3,-4,-5,-6,-6,-1,2,3,-4,-6,-1,0,-2
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,329,1874.316919824368,1874.2103284325535,1874.4235112161823,307082,309953,2872,17161,0.16735621467280462,2,3,-3,-1,0,4,0,2,3,-3,-1,1,-2,0
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,330,1874.31999455191,1874.213443528517,1874.4265455753027,323722,325618,1897,21841,0.08685499748180028,2,3,-2,5,-3,5,1,2,3,-2,6,4,-4,-2
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,331,1874.319579261762,1874.2105600722366,1874.4285984512876,273087,275208,2122,4386,0.483812129502964,2,2,3,-1,-4,-2,-2,2,2,3,-2,-2,3,-1
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,332,1874.3204788065982,1874.211977358269,1874.4289802549276,289262,291393,2132,9586,0.222407677863551,2,2,4,5,-6,3,-1,2,2,4,4,-6,1,1
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,336,1874.3201282752643,1874.210554566665,1874.4297019838637,596732,599733,3002,43301,0.06932865291794647,3,-3,-4,3,4,-1,1,3,-3,-4,4,-5,2,1
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,337,1874.319930976827,1874.2150859560072,1874.4247759976465,546267,548838,2572,14376,0.17890929326655536,3,-4,1,-4,-6,1,2,3,-4,1,-4,-3,-6,1
